sequence_id,cluster,kingdom,kingdom_confidence,kingdom_source,phylum,phylum_confidence,phylum_source,class,class_confidence,class_source,order,order_confidence,order_source,family,family_confidence,family_source,genus,genus_confidence,genus_source,species,species_confidence,species_source,is_novel
seq_49,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_50,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_51,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_52,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_53,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_54,1,Potential Novel Kingdom (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 1),0.0,Potential Novel Cluster,True
seq_55,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_56,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_57,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_58,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_59,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_60,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_61,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
